ADM2_Name_LB_DF,ADM2_Name_faulty_geodata,ADM2_Name_HDX,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Akkar,Akkar,Akkar,16,29,344,47,8.7,38.4
Aley,Aley,Aley,15,124,150,19,93.4,58.6
Baabda,Baabda,Baabda,26,427,697,58,92.5,0
Baalbek,Baalbek,Baalbek,13,862,191,76,35,64.8
Batroun,Batroun,El Batroun,3,3,35,0,49.2,0.7
Bsharri,Bcharre,Bcharre,0,0,8,0,7.2,1.2
Western Beqaa,Bekaa Ouest,West Bekaa,8,192,33,0,84.9,86.3
Bint Jbeil,Bent Jbail,Bent Jbeil,1,1591,39,0,65.4,69.2
Beirut,Beyrouth,Beirut,16,212,500,14,94.2,45.5
Chouf,Chouf,Chouf,2,69,67,11,98,77.8
Matn,El Metn,El Meten,14,4,180,0,99.3,38.8
Hasbaya,Hasbaiya,Hasbaya,1,941,11,5,98.7,69.6
Hermel,Hermel,El Hermel,3,237,45,0,84.2,64.6
Jbeil,Jbail,Jbeil,4,13,49,13,19.4,1.5
Jezzine,Jezzine,Jezzine,2,731,12,3,88,3.8
Keserwan,Kesrouane,Kesrwane,10,8,171,0,100,30.1
Koura,Koura,El Koura,0,15,79,0,100,8
Marjeyoun,Marjayoun,Marjaayoun,1,1583,40,0,91.4,90.3
Miniyeh-Danniyeh,Minie-Danniye,El Minieh-Dennie,9,48,244,0,87.5,4.9
Nabatiyeh,Nabatiye,El Nabatieh,6,2805,56,0,56,75.5
Rashaya,Rachaiya,Rachaya,0,111,9,0,59.5,67.7
Sidon,Saida,Saida,14,1455,217,0,95.7,62.3
Tyre,Sour,Sour,2,1805,122,0,93.8,98.1
Tripoli,Tripoli,Tripoli,28,117,1227,45,87.8,65.5
Zahle,Zahle,Zahle,15,76,113,30,85.3,31.2
Zgharta,Zgharta,Zgharta,6,5,53,5,59.1,33.1
