District,ADM2_Name,Resident_Population (R),Displaced_Population (D),Heterogeneity (H),Displacement_Ratio (S = D/R),Demographic_Factor (DF = S*H)
Akkar,Akkar,2866.261628,91.85465116,0.201164078,0.043141376,0.008763285
Aley,Aley,3735.869048,1632.107143,0.301626535,0.461512158,0.145648073
Baabda,Baabda,9389.180328,580.704918,0.344853056,0.355408183,0.0940857
Baalbek,Baalbek,3730.257426,103.3564356,0.184353702,0.074708806,0.013789887
Bcharre,Bcharre,962,20.13043478,0.148936394,0.039998859,0.008515087
Beirut,Beyrouth,23308.46154,12625.92308,0.613193205,0.975868428,0.594716233
Bent Jbeil,Bent Jbail,1756.710526,2.657894737,0.09971194,0.000936205,0.000187605
Chouf,Chouf,2628.777778,1143.232323,0.261851944,0.311074658,0.090263516
El Batroun,Batroun,912.2253521,103.0422535,0.218740895,0.144568452,0.030107366
El Hermel,Hermel,4051.285714,117.7857143,0.221329845,0.1090522,0.014322792
El Koura,Koura,2139.575,126.45,0.292298318,0.209335883,0.061089539
El Meten,El Metn,4860.824742,200.4639175,0.382504742,0.05198022,0.019314589
El Minieh-Dennie,Minie-Danniye,1999.864407,136.4237288,0.142528425,0.044348922,0.004918003
El Nabatieh,Nabatiye,4374.102041,45.10204082,0.158023359,0.017870179,0.00369097
Hasbaya,Hasbaiya,1224.25,68.66666667,0.218159589,0.062277766,0.023040949
Jbeil,Jbail,1230.682243,223.1214953,0.223150572,1.648943056,0.27880008
Jezzine,Jezzine,397.7777778,83.41975309,0.273540755,0.32606669,0.11879906
Kesrwane,Kesrouane,3176.085366,197.9268293,0.237390811,0.085975594,0.015919346
Marjaayoun,Marjayoun,1016.837838,9.135135135,0.187479554,0.015172501,0.005804133
Rachaya,Rachaiya,859.6904762,73.23809524,0.184763427,0.105794293,0.023916384
Saida,Saida,4508.512821,939.3333333,0.235570826,0.140111298,0.044719337
Sour,Sour,3573.128205,182.3846154,0.128046617,0.002972546,0.001882657
Tripoli,Tripoli,18057.4375,308.5,0.235591096,0.008420787,0.000612806
West Bekaa,Bekaa Ouest,2870.045455,67.31818182,0.257476899,0.658772635,0.15546255
Zahle,Zahle,4487.353846,252.6615385,0.40546512,0.047273037,0.021604491
Zgharta,Zgharta,1714.326923,68.55769231,0.209347528,0.046930621,0.010375918
