ADM2_NAME,ntlmean
Akkar,1.72757467
Aley,5.756009485
Baabda,12.39083485
Baalbek,0.857504775
Batroun,2.861738572
Bcharre,1.264387094
Bekaa Ouest,2.355033416
Bent Jbail,2.388672392
Beyrouth,83.12862062
Chouf,2.802421324
El Metn,15.90347419
Hasbaiya,1.43338747
Hermel,0.559304811
Jbail,2.739503546
Jezzine,1.840945641
Jezzine,1.455714273
Kesrouane,7.983685289
Koura,4.618598986
Koura,1.209000021
Marjayoun,1.869856657
Minie-Danniye,2.422193107
Nabatiye,2.983280422
Rachaiya,0.914005983
Saida,5.637790086
Sour,3.905280454
Tripoli,32.16583925
Tripoli,12.96823542
Zahle,5.922806029
Zgharta,3.896600004
